NAME,B01003_001E,state,county
"Adjuntas Municipio, Puerto Rico",17614,72,001
"Aguadilla Municipio, Puerto Rico",51552,72,005
"Aguas Buenas Municipio, Puerto Rico",25298,72,007
"Añasco Municipio, Puerto Rico",26555,72,011
"Arecibo Municipio, Puerto Rico",83682,72,013
"Barceloneta Municipio, Puerto Rico",23913,72,017
"Barranquitas Municipio, Puerto Rico",28026,72,019
"Cabo Rojo Municipio, Puerto Rico",47977,72,023
"Caguas Municipio, Puerto Rico",126734,72,025
"Camuy Municipio, Puerto Rico",31066,72,027
"Carolina Municipio, Puerto Rico",150378,72,031
"Cataño Municipio, Puerto Rico",23698,72,033
"Ceiba Municipio, Puerto Rico",11207,72,037
"Ciales Municipio, Puerto Rico",16188,72,039
"Coamo Municipio, Puerto Rico",38603,72,043
"Comerío Municipio, Puerto Rico",18942,72,045
"Culebra Municipio, Puerto Rico",1371,72,049
"Dorado Municipio, Puerto Rico",36475,72,051
"Florida Municipio, Puerto Rico",11513,72,054
"Guánica Municipio, Puerto Rico",15825,72,055
"Guayama Municipio, Puerto Rico",40198,72,057
"Guaynabo Municipio, Puerto Rico",85312,72,061
"Gurabo Municipio, Puerto Rico",46948,72,063
"Hormigueros Municipio, Puerto Rico",15731,72,067
"Humacao Municipio, Puerto Rico",51586,72,069
"Jayuya Municipio, Puerto Rico",14239,72,073
"Juana Díaz Municipio, Puerto Rico",45414,72,075
"Lajas Municipio, Puerto Rico",22391,72,079
"Lares Municipio, Puerto Rico",24945,72,081
"Las Marías Municipio, Puerto Rico",8131,72,083
"Las Piedras Municipio, Puerto Rico",37233,72,085
"Loíza Municipio, Puerto Rico",25164,72,087
"Luquillo Municipio, Puerto Rico",17924,72,089
"Manatí Municipio, Puerto Rico",38062,72,091
"Maricao Municipio, Puerto Rico",5900,72,093
"Maunabo Municipio, Puerto Rico",10568,72,095
"Mayagüez Municipio, Puerto Rico",73336,72,097
"Moca Municipio, Puerto Rico",35547,72,099
"Morovis Municipio, Puerto Rico",30652,72,101
"Naguabo Municipio, Puerto Rico",25931,72,103
"Naranjito Municipio, Puerto Rico",27719,72,105
"Orocovis Municipio, Puerto Rico",20608,72,107
"Patillas Municipio, Puerto Rico",16591,72,109
"Peñuelas Municipio, Puerto Rico",19797,72,111
"Ponce Municipio, Puerto Rico",135674,72,113
"Quebradillas Municipio, Puerto Rico",23261,72,115
"Río Grande Municipio, Puerto Rico",48828,72,119
"Sabana Grande Municipio, Puerto Rico",22140,72,121
"San Germán Municipio, Puerto Rico",30811,72,125
"San Juan Municipio, Puerto Rico",326953,72,127
"San Lorenzo Municipio, Puerto Rico",36586,72,129
"Santa Isabel Municipio, Puerto Rico",21474,72,133
"Toa Alta Municipio, Puerto Rico",72450,72,135
"Trujillo Alto Municipio, Puerto Rico",65011,72,139
"Utuado Municipio, Puerto Rico",28041,72,141
"Vega Baja Municipio, Puerto Rico",51089,72,145
"Vieques Municipio, Puerto Rico",8508,72,147
"Villalba Municipio, Puerto Rico",21899,72,149
"Yauco Municipio, Puerto Rico",34501,72,153
"Rincón Municipio, Puerto Rico",13849,72,117
"Aguada Municipio, Puerto Rico",37307,72,003
"Aibonito Municipio, Puerto Rico",22545,72,009
"Arroyo Municipio, Puerto Rico",17502,72,015
"Bayamón Municipio, Puerto Rico",173695,72,021
"Canóvanas Municipio, Puerto Rico",45120,72,029
"Cayey Municipio, Puerto Rico",43126,72,035
"Cidra Municipio, Puerto Rico",38977,72,041
"Corozal Municipio, Puerto Rico",32928,72,047
"Fajardo Municipio, Puerto Rico",30263,72,053
"Guayanilla Municipio, Puerto Rico",18080,72,059
"Hatillo Municipio, Puerto Rico",39561,72,065
"Isabela Municipio, Puerto Rico",41084,72,071
"Juncos Municipio, Puerto Rico",38471,72,077
"Salinas Municipio, Puerto Rico",27638,72,123
"San Sebastián Municipio, Puerto Rico",36292,72,131
"Toa Baja Municipio, Puerto Rico",76008,72,137
"Vega Alta Municipio, Puerto Rico",36559,72,143
"Yabucoa Municipio, Puerto Rico",32867,72,151
